,nearest stattion,number of stops within 2kms
389,642.4907429204817,10
390,207.55020064410522,21
391,207.55020064410522,21
392,1076.241852922002,6
393,991.5034180091376,7
394,1165.4550019563883,6
395,340.53027131880776,15
396,183.95548088416595,20
397,699.2298059406022,10
398,512.2100093550999,12
399,1039.531546691706,7
400,1076.241852922002,6
401,1039.531546691706,7
402,207.55020064410522,21
403,699.2298059406022,10
404,880.1304437180472,10
405,830.0014647007707,7
406,471.6156237253224,14
407,699.2298059406022,10
408,1034.5766534549548,7
409,602.7064283637679,11
410,670.0617673008855,10
411,862.9536788459761,7
412,438.27380870685835,14
413,1034.5766534549548,7
414,1076.241852922002,6
415,946.114836090411,8
416,1165.4550019563883,6
417,991.5034180091376,7
418,862.9536788459761,7
419,1039.531546691706,7
420,602.7064283637679,11
421,409.2484377417211,22
422,438.27380870685835,14
423,670.0617673008855,10
424,880.1304437180472,10
425,774.2225236747452,9
426,991.5034180091376,7
427,568.6091499944565,12
428,1076.241852922002,6
429,207.55020064410522,21
430,880.1304437180472,10
431,438.27380870685835,14
432,1091.781864631791,6
433,340.53027131880776,15
434,438.27380870685835,14
435,183.95548088416595,20
436,1091.781864631791,6
437,233.22731903328616,22
438,496.8879926536334,19
439,459.00386487393337,20
440,459.980517727331,20
441,673.0919128703123,17
442,75.26800530138618,23
443,627.7403521102959,19
444,649.7798056514749,13
445,649.7798056514749,13
446,643.9925124895497,4
447,30.60884160493443,24
448,776.4461543649646,19
449,665.2618154243139,18
450,665.2618154243139,18
451,1255.6592479061128,3
452,362.49367453328875,13
453,540.1894997542364,19
454,590.8907829171698,19
455,459.980517727331,20
456,496.8879926536334,19
457,627.7403521102959,19
458,362.51376899060676,28
459,496.8879926536334,19
460,397.9309362876358,5
461,590.8907829171698,19
462,590.8907829171698,19
463,459.980517727331,20
464,590.8907829171698,19
465,459.00386487393337,20
466,590.8907829171698,19
467,459.980517727331,20
468,459.980517727331,20
469,540.1894997542364,19
470,496.8879926536334,19
471,459.980517727331,20
472,459.00386487393337,20
473,459.980517727331,20
474,590.8907829171698,19
475,459.980517727331,20
476,459.980517727331,20
477,1791.94531688562,1
478,590.8907829171698,19
479,459.980517727331,20
480,459.00386487393337,20
481,459.980517727331,20
482,590.8907829171698,19
483,590.8907829171698,19
484,540.1894997542364,19
