nearest stattion,number of stops within 2kms
1139.91484,3
416.0670814,3
468.5306186,3
736.846725,2
1534.427238,3
1039.333815,5
853.3131333,2
1495.413972,4
739.320846,3
1149.764615,4
1492.313408,4
1036.737036,2
739.320846,3
1134.634452,3
1159.962698,5
886.4696929,2
1144.768532,2
1039.333815,5
449.1649664,3
468.6649129,3
1196.278317,4
894.1083131,3
1247.638798,4
651.2553733,1
1117.853168,2
726.060507,3
323.9693504,3
896.7427335,2
623.9720505,3
659.1197408,1
260.0459742,3
749.8939533,3
1492.313408,4
1605.626073,4
645.864793,4
573.4491027,2
988.6139068,3
1588.303344,4
725.0362206,2
548.9101197,4
260.7478992,3
549.2486839,4
823.8192723,3
891.7954056,3
692.5942288,1
416.8493685,3
416.8493685,3
416.8493685,3
1248.946218,2
677.867343,3
618.4214904,3
157.0198481,5
677.867343,3
1312.736208,3
853.0639417,3
1179.397374,2
525.0045834,3
677.867343,3
334.9618264,4
1624.095918,3
370.661862,2
1131.856905,3
610.4874887,3
709.6556486,3
494.8146222,2
953.2874459,3
677.867343,3
425.8463761,3
1014.641934,3
370.661862,2
556.3418516,3
897.7368244,4
687.3755773,3
707.2091104,3
747.7018048,2
334.9618264,4
248.1571176,2
307.7359561,2
1144.768532,2
1179.397374,2
819.1709318,3
425.8463761,3
1131.856905,3
1865.699557,1
677.867343,3
687.3755773,3
333.9247004,2
1893.279298,1
1312.736208,3
1678.385797,2
1071.156475,3
1134.634452,3
1139.91484,3
1071.156475,3
833.4232141,3
1134.634452,3
1071.156475,3
1605.626073,4
1605.626073,4
1605.626073,4
1035.440184,2
1605.626073,4
1248.946218,2
894.1083131,3
947.5119915,1
909.7675494,2
0,0
1542.201534,1
666.7626922,3
1896.530915,1
1695.935646,2
1013.067868,2
1318.84889,5
524.3898775,3
609.8047681,3
947.3827402,2
589.0420824,3
1544.918183,2
1501.579746,5
1501.579746,5
535.5737058,4
777.6634646,2
1631.832211,2
1451.715856,4
1399.780358,2
777.6634646,2
1419.465253,4
721.6366543,3
1015.465561,2
240.182149,4
